username,rate,date,label,sentimen,reviews,produk
sasamalia,5,05-05-2024 05:19 AM,fake,positive,"pertama beli suka banget karna teksturnya ringan, harganya worth it, bikin kulit aku ga kusam jugaaa, aku pake udah kurang lebih 2 bulanan dan sekarang muka aku kaya lebih fresh dan ga kusam, dan slalu ngerasa aman kalo kena sinar matahari karna spf nya 45 pa +++",Emina Sunscreen
DindaSeptiana98_,5,05-05-2024 05:17 AM,fake,positive,"Akhirnya ada produk yang Cocok banget di kulit aku, gak bikin kusam, harganya terjangkau, teksturnya pas juga, rutin di pake keluar gak bikin hinyai, pokoknya cocok buat yang suka banyak aktifitas di luar ruangan, sangan rekomendasi banget",Emina Sunscreen
wansalsa34,5,05-05-2024 05:07 AM,fake,positive,Seneng banget sama produk dari emina iniiii pokoknya jangan sampe gabeli kalian ini bener bener sunscreen yang bagus banget buat muka aku yang jerawatan dan kusam iniiii emang se worth it itu woi pokoknya tiada tandinggg jangan lupa dibeli yaa,Emina Sunscreen
hasnanrlf,5,05-05-2024 04:54 AM,fake,positive,"aku aku mau kenalin produk yang satu ini nih, dulu jaman smp aku pernah pake produk ini dan bagus banget buat aku yang pemula waktu itu, wanginya enak, harga nya pun juga pelajar friendly alias ramah di kantong ya say, lama pemakaian kenya kurang lebih di 6 bulan ",Emina Sunscreen
witsqa_,3,05-05-2024 04:44 AM,trusted,neutral,"siapa yang gak tau sunscreen ini, harga pelajar murah terus bisa pake under makeup tapi di aku sayangnya oily terus greasy jadi kebelihan yang aku rasa cuma murah aja mungkinnn terus kalo dipake buat pemula bisa tapi prefer brand lain aja ya",Emina Sunscreen
Niahamdani68,5,05-05-2024 04:43 AM,fake,positive,Bagus banget dipake di remaja aman untuk kulit kemerahan dan berjerawat harganya affordable banget bagus banget aman hasilnya juga bagus bisa mencerahkan juga menjaga dari paparan sinar matahari banget ga lengket pokonya very recommemded,Emina Sunscreen
Kresnaaizisa11,5,05-05-2024 04:38 AM,fake,positive,"Aku pakai ini sejak SMA saat latihan paskibra latihan setiap hari sampai warna kulitku gelap kusam dan kering. Setelah aku pakai emina ini warna kulitku kembali membaik dan tidak menjadi kusam, lebih cerah dan lebih lembab. Aku rekomendasikan banget sih",Emina Sunscreen
kaniaaliya,5,05-05-2024 04:06 AM,fake,positive,Super ringan dan bener bener aku suka banget bisa ditimpa di atas makeup dan aku selalu re apply selam 3 jam sekali jadi aman banget sih ke muka ga whitecast aku suka bangett sihh rekomen buat kalangan remaja karna aku pake dari smp jadi gada alasan lagi buat ga make sunscreen,Emina Sunscreen
alfatesya,4,05-05-2024 04:04 AM,fake,positive,"harganya murah banget, ringan jugaa dan pstinya ga bikin kulit berminyak. bisa banget dipake untuk sehari-hari, aku pake dari jaman masih sekolah dan sampe sekarang kadang kadang masih suka pake juga, karena aman dikulit dan di jual dimana mana",Emina Sunscreen
Alexander88,5,05-05-2024 03:55 AM,fake,positive,"Sunscreen pertama yang aku coba, dulu wanginya agak kurang enak sekarang udah reformula wanginya lebih soft, buat kulit aku yang sensitif masih aman-aman aja sih, harganya juga terjangkau banget, ada travel sizenya juga bisa buat pergi-pergian",Emina Sunscreen
Ajengmarjanmardhiani,2,05-05-2024 03:48 AM,trusted,negative,Akuu pake inii dari SMP sampe sekarang udah kuliaah.bner bner bagus bangett gak bikin kulit kusam dan bikin bekas jerawat aku ilang.produk ini juga ngebantu aku buat melindungi dari sinar matahari dijalan karena perjalanan aku dari kampus jauh,Emina Sunscreen
ayni00,2,05-05-2024 03:45 AM,trusted,negative,"Sumpah beli ini gak direncanain bangettt, gue emangg lagi haus akan lip product gitu trs gue liat nih barang ini kyk “dih nih produk baru apa gimana” krn emg baru liat dan emg gue nya jg ga pernah beli lip product dr brand ini. Ok gue bingung banget mau beli yg mana antara creamy tint atau ini yg kyk lip gloss. Gue baca review nya dulu di Female Daily. Dan review nya jg bagus2 ok gue beli pdhl harga nya jg ga beda jau ama creamy tint ituu. Pas gue cobain ok ga lengket TAPI kenapa dibibir gue malah jelek, mungkin krn ekspektasi gue yg terlalu tinggi ama nih produk jd pas gue coba malah yaudah nyesel. Pdhl mlm itu gue jg keburu2 buat bsk ada acara tp ujung2 nya nih barang ga dipake. Rada nyesel sih tp yaudahlah gue jg make sesekali:))",Emina Sunscreen
lydiaaa888,5,05-05-2024 03:39 AM,fake,positive,"sunscreen ini enak bangettttt dipakenyaaa, ringan trs ga peeling jugaaaa. Terutama buat anak sekolahhh, pokoknya ga bikin kusammm enak banget. Favorite vanget buat akuuu, dan harganya juga murahhh bisa dicari dimana ajaaaa. Terus ga whitecastttt",Emina Sunscreen
Rizkath17,5,05-05-2024 03:39 AM,fake,positive,"nah ini juga salah satu sunscreen yang aku pake dan ini bagus banget, dimuka bikin jadi flawless selain itu juga gabuat makeup kita crack, top markotop banget kalian harus coba sunscreen emina ini! aku rekomendasiin banget buat kalian semua para cewe",Emina Sunscreen
rizkaptr,5,05-05-2024 02:48 AM,fake,positive,"Sunscreen emina sangat melindungi dari sinar uv terus ga ninggalin bekas2 putih. Aman untuk dipake anak anak usia muda. Sangat recommended buat kalian yang baru mau coba pake skincare, aman dan terjangkau harganya ga bikin kantong bocor",Emina Sunscreen
intanksmh,2,05-05-2024 02:46 AM,trusted,negative,"pertama kali beli produk ini dapet rekomen dari temen katanya produknya bagus, tapi ternyata gak cocok di kulit aku bikin kulit kaya kilang minyak sama jadi kusem banget karena sayang dibuang aku ttp coba kirain bakal ada perubahan termyata ngga, untuk aku sih gak akan repurchase",Emina Sunscreen
barbelobey,2,05-05-2024 02:29 AM,trusted,negative,"Lip shine. Seperti namanya, dia lumayan glossy gitu. Packagingnya kecil banget jadi praktis kalau mau dibawa kemana-mana. Pas diaplikasiin sebenernya agak lengket gitu di bibir dan kerasa heavy. Terus juga ada sedikot fragrance vanilla vanilla gitu. Aku sendiri ngga terlalu suka karena kesan lengket yang dikasih sama dia. Tapi dari segi warnanya bagus sih, natural dan cocok dipake sehari-hari",Emina Sunscreen
luthfiraf,5,05-05-2024 02:27 AM,fake,positive,"aku suka banget sama sunscreen ini soalnya gabikin lengket dan cepet bgt nyerapnya &yg paling penting bikin kulit aku terhindar dari sinar uv, kyk penting bgt kan?biar kulit kita ga cepet keriput. I like so so so so so much u guys must try bgt deh ",Emina Sunscreen
alifia_salsabila25,5,05-05-2024 01:25 AM,fake,positive,Sunscreen emina tercocok yang bikin lembut! Teksturnya ga bikin abu dan ga lengket. Wanginya ga nyenget dan yang paling penting harganya pas dikantong pelajar! Suka banget sama produk emina karna terjangkau buat kaum pelajar! Kalau mau cari sunscreen ini aja ya,Emina Sunscreen
Binar_hd,2,04-05-2024 02:13 PM,trusted,negative,"sukak bgt sebenarnya sama formulanya krna dia ga lengket, ga ngegumpal trus dia wrnanya super natural jdi di pake sndiri pun masih bgus di aku. aku lebih prefer lipgloss yg ga ada shimer kayak si emina ini. kurangnya satu yaitu packagingnya, tutupnya itu kayak kurang rapet gitu pdhal udah di ttup sekuay tenaga, tetap aja produknya meleber kemana-mana smpe"" semua makeupku jdi ikutan lengket, moga emina mau upgrade packagingnya. aku bakal repurchase sih krna emang bgus juga soalnya lipgloss yg lain agak pricey lol",Emina Sunscreen
hasnaadung,5,04-05-2024 01:04 PM,fake,positive,"Sunscren emina bagus bngt, cepet myerap dikulit, dan sangat ringan terus ga ada tone up ke kulit, pake sunscreen doang udah bagus, menjaga kulit dari sinar matahari, terus produk nya juga murah ramah di kantong pelajar, wangi jugaa",Emina Sunscreen
yuniarrr23,5,04-05-2024 12:54 PM,fake,positive,"Tabir surya ini dipuji karena teksturnya yang ringan dan tidak berminyak, sehingga cocok untuk digunakan sehari-hari
.
Banyak pengguna yang merasakan produk ini efektif melindungi kulit mereka dari sinar matahari tanpa meninggalkan gips putih
.
Harga yang terjangkau telah disorot sebagai keunggulan utama, sehingga dapat diakses oleh banyak pelanggan",Emina Sunscreen
reviealiv,5,04-05-2024 12:44 PM,fake,positive,Harganya affordable dan productnya bisa didapat dengan mudah fitur aplikasi mudah di mengerti BA nya ramah pelayanannya oke sekali thankyou ya semoga female dsily semakin sukses dan bisa terus memberikan promo yang banyak dan informatif,Emina Sunscreen
fellfeel_,2,04-05-2024 12:43 PM,trusted,negative,"Ini dapat dari teman sebagai kado, jadi tumben banget nyobain lipgloss dari emina. Warnanya cantik, tapi teksturnya agak kental dan lengket gitu, jadi pas diaplikasikan agak susah, apalagi sebelumnya pakai lipbalm, dia malah bangun dan gak mau nempel:(",Emina Sunscreen
ayupuspitasari04,5,04-05-2024 12:41 PM,fake,positive,"Tidak lengket, mudah menyerap dan ringan enak dipakai untuk sehari-hari di bawah paparan sinar matahari. Cocok di semua jenis kulit, cocok di semua kalangan mulai dari remaja sampai dengan dewasa. Pokoknya top banget dehhh, terluv🤍",Emina Sunscreen
Gitaap665_,2,04-05-2024 12:21 PM,trusted,negative,"Dari segi packagingnya imut banget, kecil mudah dibawa2. aplikatornya juga gundek ujungnya runcing, gampang dipakenya. waktu dipake rasanya lengket, kalo udah berjam2 bibirku jadi kering banget. kalo mau pake ini, lebih baik jadi lip topper aja, jangan dipake sendiri. kalo dipake sendirian jadinya bibir bakal kering. warnanya sih bagus ini pink agak kemerahan, tapi ya itu tadi, setelah 5 jam bibirku kering banget. harganya sekitar 30ribu. repurchase? no, mending cari lipgloss/lip topper merk lain aja",Emina Sunscreen
Erghitaadr,5,04-05-2024 11:54 AM,fake,positive,"Aku pake ini waktu masih teenagers sekolah pas smp-sma pake ini karena bagus untuk pemula dan anak anak seprti smp-sma. Kalian yg bocil bocil coba ini yahh dijamin bagus dan melindungi dari matahari yg jahat dan orang orang jahat hahaha, please try",Emina Sunscreen
biybiyaa,2,04-05-2024 11:40 AM,trusted,negative,"aku kurang suka sama warnanya yang terlalu nyeter buat aku.teksturnya, enggaklengket. ternyata dia itu lipgloss yg warnanya nyeter, sedangkan yg buttery nude itu sheer lip gloss. jadi aku lebih suka yang buttery nude karena kalo pake yg ini nggak keliatan natural, karena pakenya pas di sekolah. harga affordable kok. buat yg suka bisa coba sih. aku cuman kurang suka di warna aja",Emina Sunscreen
niidalailaa,2,04-05-2024 11:40 AM,trusted,negative,"Entah kenapa adikku beli lipgloss ini. Karena gak dipake-pake jadi aku penasaran coba.. eng ing eng ternyata memang kurang bagus, pantesan dikacangin ae haha. Lip gloss ini ada sedikit warna pink yg sheer sekaliiii dan tekstur nya terlalu tebal di bibir jadi gak nyaman beb",Emina Sunscreen
AmeliaShakyAndara,2,04-05-2024 11:37 AM,trusted,negative,"lipgloss ini terlalu lengket menurutku, sedikit terlalu kental juga jadi susah aplikasiinnya. harus diteken-teken dan rasanya lengket dan tebel banget kalo pake ini. poin plusnya ini lipgloss yang bisa dipake daily, nggak terlalu glossy yang ngejreng gitu. tapi tetep harus pake base lipmatte / lipstick sih, karna pigmentasinya kurang dan sheer banget kalo ga pake base.",Emina Sunscreen
alvisanur06,5,04-05-2024 11:31 AM,fake,positive,"aku pakai sunscreen ini satu tahun lebih secara rutin, kulit belang di wajah aku hilang gais. secepat itu efek dari sunscreen nya, highly recommended for you, harga nya affordable di kantong pelajar sama mahasiswa, terus cocok di all skin type, ngga ada whitecast nyaaa",Emina Sunscreen
naraaqinthara,5,04-05-2024 11:20 AM,fake,positive,"Selama pemakaian produk emina ini sangat bagus dan cocok di kulit muka aku, teksturnya sendiri enak dan nyaman dipakai. Terus juga produk emina ini cocok untuk di kalangan remaja untuk pertama kali pemakaian dan harga produk yang Affordable.",Emina Sunscreen
Syabila_blla,5,04-05-2024 10:53 AM,fake,positive,"Suka banget Sama sunscreen emina yang satu ini teksturnya enak banget mudah meresap pada kulit. Udah berapa kali aku beli produk ini. Karena emang sebagus ituloh, harganya juga terjangkauan banget. Next pengen beli lagi rekomen banget.",Emina Sunscreen
sahore,1,30-01-2024 3:19,trusted,negative,"beli ini krn pengen lipgloss gitu yg shiny shiny gitu, di aku enak2 aja, bagus juga, berminyak sih ya tp untung ya dia ga lengket kaya m*d*m g*e itu lengket bgt dong ky lem 😭, sebenernya aku suka sama ini, uda cocok gitu terus pas lihat ingredientsnya, ya Allah ternyata ada parabennya 😥 sedih akutuh krn aku busui yg harusnya menghindari paraben 😭 jd kayanya aku ga bakal repurchase ini lg deh, huuuhuu kenapasih emina sama v*va mengandung paraben 😩",Emina Beauty
deviiniiaa,5,27-01-2024 16:20,fake,positive,"Bagus! dia beneran melembutkan buat rambutku yang sebelum diwarnain udah kering begitu diwarnain makin kering lagi. Biasanya aku tunggu 15 menitan, tapi sayang aku kurang suka baunya, lebih enak yang melon tapi varian ini yang kegunaanya pas buat aku. Mudah ditemuin lagi! ada di minimarket2 sekitar (versi sachet)",Makarizo Hair Creambath
Kartika_Ambar,3,27-01-2024 9:43,trusted,neutral,"Diantara 3 varian kayaknya yg ini doang yg aku kurang suka,wanginya sih enak ya... Dirambut sebenernya dia juga bikin halus dan berkilau, kalo mau effort dikit bungkus beberpa menit pake handuk panas/hangat hasilnya lebih wow lagi, lebih haluus dan wanginya lebih nempel dirambutt. cuma yg varian royal jelly ini cenderung bikin rambut cepet lepek juga dibandingkan varian lainnya. mungkin karena emang dia lebih cocok buat rambut kering ya.",Makarizo Hair Creambath
deanieafifah,1,26-01-2024 23:00,trusted,negative,"klo bisa di bilang, ini lumayan pigmented untuk seukuran lip gloss sebenarnya buatku sih ini bukan lipsgloss tapi lebih ke liquid lipstik kali yah isinya dikit banget, tempatnya juga mini, lembab juga dan lumayan awet :) warnanya di bibirku",Emina Beauty
rilakumabear,1,26-01-2024 19:34,trusted,negative,"Beli ini karena penasaran, soalya lip gloss kan lagi trend saat ini. Apalagi ini produk murah bingits. Setelah aku coba ya bagus sih bikin bibir berkilau. Cuma yangg aku ngga suka, formulanya lama-lama bikin lengket banget. Dan aneh rasanya di bibir huhu.",Emina Beauty
ninsday,1,26-01-2024 11:40,trusted,negative,"lip gloss pertamaku hahaha, krna ngga terlalu suka pakai lipgloss, tapi untuk ukuran lipgloss ini bagus kok, warnanya ada tapi kayak transparan gt, gmna ya jelasinnya ada waranya tapi tipis banget, trus ada gliternya juga, ngga terlalu becek gt pas di pakai, kyk kliatan bibirnya sehat ngga terlalu minyakan kyk abis makan gorengan. itu aja sih cuma pas di pakai makan minum transfer aja glossnya jdi yang kesisa biasanya tnggal gliternya aja ??",Emina Beauty
DDDara,2,24-01-2024 9:14,trusted,negative,Ku suka warnanya tapiii kegesek dikit udah kekupas. Iya sih tau peel off tapi kamu kenapa serapuh itu? Atau emang seperti itu ya kalau peel off? Soalnya baru pertama kali pakai yg peel off ternyata begitu :(,Emina Beauty
