username,rate,date,label,sentimen,reviews,produk
Syifanirmala,5,05-05-2024 11:20 AM,fake,positive,"Dateng kesini cuman buat beli produk ini, suka banget karna nyari produk ini tuh harus beli online di daerahku. cocok di waiah dan lebih bersinar saat memakainyaa akuu jatuh hati banget sama produk ini makasih karna produk ini waiahku lebih cocok",Emina Sunscreen
tiararahy,5,05-05-2024 11:19 AM,fake,positive,"beneran bagus banget dan affordable, nyaman dan ringan dipakai pokonya wajib banget dibeli buat anak remaja karena bisa dipake buat daily dan finishngya glowing banget, pokonya sekali beli di jamin bakalan beli lagi karena sebagus itu!!",Emina Sunscreen
astimaulida,5,05-05-2024 10:29 AM,trusted,positive,"Sunscreen nya ringan dan mudah di bland di kulit trus juga aman di bawah makeup jadinya bagus mih buat jadi primar sebelum makeup, no whitecase jadinya ga bikin kulit kusam pas udah di apply di muka trus juga aman di layer di atas skincare lainnya",Emina Sunscreen
wansalsa,5,05-05-2024 10:13 AM,fake,positive,Suka banget sama sunscreen dari emina ini soalnya bener bener bikin muka jadi lembab dan bekas jerawat pun menghilang pokoknya love banget sayang sama sunscreen ini dan udah lama make produk ini dari dulu soalnya spf nya jga cocok buat mukaku,Emina Sunscreen
Rafaaarini,3,05-05-2024 10:11 AM,trusted,neutral,Ini sih di aku bikin kusem yaaa dan berminyak dan ini juga dinaku kurang cocok dan bikin kusam buat kalian yg mungkin kulitnya masih remaja cocok sih karna blm di apa apain ehhehe tapi ini worhit buat di beli harganya murah dan juga masuk di kantong,Emina Sunscreen
Sheptiriani,5,05-05-2024 09:54 AM,fake,positive,"Bagus banget produknya worth it banget, udah gitu murah affordable dibeli pelajar pokonya gaakaannnnn nyeselll beli produk iniii karena semurah dan sebagus itu akupun idah lama pake produk ini dan dari lama hampir 1 taun lebih pokonya sukaaa",Emina Sunscreen
Amaliaerfiana,5,05-05-2024 09:51 AM,trusted,positive,"Biasanya saya pake sebelum make up an, baguss banget bikin kulit terhindar dari sinar matahari, terus ringan banget di kulit dan kulit juga terasa lembut, make up juga gak crack setelah pake malah jadi lebih nge set make up nya pokonya recommended banget",Emina Sunscreen
sysaputri_,5,05-05-2024 09:48 AM,trusted,positive,"Udah pake emina sejak lama, dari zaman masi S1 sampe ini kerja terus lanjut S2 masi tetep setia pake emina!

Soalnya emang senyaman itu dipake, harganya murah tapi ga murahan, cocok di kulit remaja, engga buat iritasi cocok banget di aku, super duper suka",Emina Sunscreen
gitadewantiii,5,05-05-2024 09:42 AM,fake,positive,"enak banget dipake di kulit, nyaman terus galengket juga waktu pemakaian. long lasting dan bikin ga berminyak ke kulit. the price is affordable and its good for me. udah lama banget pake emina dr jaman aku sma sampe sekarang dan gapernah nyesel coba produk ini",Emina Sunscreen
alyarhmni,5,05-05-2024 09:34 AM,trusted,positive,produk ini dapat membantu pemakainnya terhindar dari terik sinar matahari yang dapat membuat kulit gosong dan hitam dan juga mempercepat penuaan maka produk ini juga dapat membantu kita untuk menjaga kulit agar terap terawat dan sehat,Emina Sunscreen
vasyarang,5,05-05-2024 09:19 AM,trusted,positive,"teksturnya juaraa!! aku suka sana tekstur moist yang
 watery. awalnya nemu produk ini krn moist sebelumnya kemahalan :"" jadi aku cari yg ingredientsnya mirip dan jatuh hati ke produk ini. after makenya bikin kulit halus dan tekstur kulit aku yg rada gradakan jadi lebih baik sejak make ini",Emina Sunscreen
risnianty04,5,05-05-2024 08:28 AM,trusted,positive,"Suncreen ini betul betul enak , ga bikin lengket muka kita pokok produk ini bagus untuk di pake di siang hari yang panas nya trik , jangan sampe engga pake produk ini untuk menahan cahaya matahari dan buat kulit kita sehat engga bikin kita item ",Emina Sunscreen
sabilazz_,5,05-05-2024 08:11 AM,fake,positive,Sunscreenn yang enak di pake tidak bikin lengket di kulit. Selain tidak lengket di kulit tekstur nya enak dan lembut. Cocok bagi saya yang mempunyai kulit kering. Rekomendasi banget deh pake sunscreen ini. Yukk cobain dari sekarang juga sunscreen nya.,Emina Sunscreen
Deamaylita_24,5,05-05-2024 07:59 AM,fake,positive,"emina emang produk yang bagus banget sih, dari zaman sekolah sampe sekarang emang se worth ituuuuu dan cocok buat dipake anak sekolah. Apalagi ngeliat harganya yang cocok sama pelajar, makin jatuh cintaaa siii samaa produk yang satuuu ini,, dan ga pernah nyesel pake prodak itu",Emina Sunscreen
indahsll,5,05-05-2024 07:41 AM,fake,positive,"emina emang produk yang bagus banget sih, dari zaman sekolah sampe sekarang emang se worth ituuuuu dan cocok buat dipake anak sekolah. Apalagi ngeliat harganya yang cocok sama pelajar, makin jatuh cintaaa siii samaa produk yang satuuu in",Emina Sunscreen
agisnafahrijatunr_08,5,05-05-2024 07:28 AM,fake,positive,"Saya sudah memakai produk emina suncrean 1tahun lebih dan di muka saya terasa ringan, mudah untuk digunakan. tekstur kental dan mudah di pakai, untuk pemula ringan sekali,, cocok untuk kulit normal skin, tidak perih d imata saat terkena air, pokoknya produknya bagus untuk dipakei remaja.",Emina Sunscreen
dewisanswi,4,05-05-2024 07:26 AM,fake,positive,Pengalaman aku pake produk ini buat berangkat kerja . Biar gak terpapar sinar matahari langsung supaya kulit kita tetap aman dari sinar uv. Jangan lupa pakai suncren ini ya gais bagus banget gak lengket di kulit juga dan cepat meresap no dempul juga hehe,Emina Sunscreen
sienepauline,5,05-05-2024 07:22 AM,fake,positive,"Produknya bagus cocok buat kulit aku yang normal to oily 
Rekomen deh buat kamu yang kulitnya berminyak
Harganya juga terjangkau banget loh 
Apalagi buat yang kaya aku mahasiswa yang banyak pengeluaran buat kuliah nya
Cus langsung beli",Emina Sunscreen
angeliafani,5,05-05-2024 07:13 AM,trusted,positive,"Suka banget deh sama produknya, ga bikin berminyak dan ga bikin kering. Tekstur bagus banget cepet menyerap dan ga whitecast. Pas banget buat beraktivitas karena ringan ga bikin lengket. Plus ga bikin jerawatan walaupun reaplly rutin. Top banget deh.",Emina Sunscreen
Diannfllh,5,05-05-2024 07:10 AM,trusted,positive,ini sunscreen pertama aku yang aku pakai dan pas pertama kali pake itu rasanyaa enakk dingin dan yang paling penting itu mudah menyerapnyaa udahh ggituu sunscrenn ini ituu no whitecase lohh pokonyaa baguss banget akuu sukaa sama produknyaa,Emina Sunscreen
tikaaa27,5,05-05-2024 07:07 AM,fake,positive,"Awalnya saya ragu, setelah di coba ternyata hasilnya memuaskan. Setelah 3 tahun emina membuat kulit saya lembut tidak bruntusan seperti produk lain. Teksturnya yg lembut tdk menggumpal, aromanya enak apalagi harganya yg murah cocok di kantong pelajar seperti saya.",Emina Sunscreen
khaerunnisa_putri_,5,05-05-2024 07:04 AM,fake,positive,"ini produk kesukaan saya, bagus untuk di pakai sehari hari, untuk melindungi kulit dari paparan sinar matahari, dan bagus untuk mencerahkan kulit, produk ini sangat baguss, saya menyukai produk sunscreen dari emina ini, produk ini cocok untuk kulit seperti saya",Emina Sunscreen
Jilansyifa,5,05-05-2024 06:41 AM,fake,positive,"Sunscreen terbaik, ga white case. Harga anak pelajar banget ga rugi kalo pake ini super duper nyaman ga bikin berminyak juga
aku pake ini udah kurang lebih satu tahunan
selain pake sunscreen emina aku jugapake beberapa produk dari emina emang sebagus ituu",Emina Sunscreen
nirapspth,5,05-05-2024 06:39 AM,trusted,positive,"pakai sunscreen emina udah kurang lebih satu tahun dan ternyata cocok banget buat kulit aku yang super kering karna sangat melembabkan tapi tidak bikin muka jadi berminyak, yang pastinya menahan dari sinar matahari juga ga perih ke mataa",Emina Sunscreen
Hanifahfitri10,5,05-05-2024 06:37 AM,fake,positive,"Aku pake udah sekitar 6 bulan dan bagus banget harga nya worth banget! Teksture nya lembut ga bikin lengket jdi lebih gentle ke kulit , bener bener ngilangin kulit kering pake suncreen auto lembab seharian pokoknya bagus banget dan ngaada bau bener bener yang soft ",Emina Sunscreen
ismisuherman,5,05-05-2024 06:33 AM,fake,positive,"Udah pake lama bgt dan emang se enak itu trs ga yg warna putih jd abu gt pas di apply, terus enak ringan bgtttt makanya sering pake ini udh beberapa taun juga pake ini dan sampe sekarang ga ganti sama sunscreen lain sih so thank you rmina jadi cocok ",Emina Sunscreen
lucyanee,5,05-05-2024 06:14 AM,fake,positive,"Sunscreen dari jaman smp sampe sekarang yang aku selalu pakee sampe udah punya anak loh hahahaaa , menurutku sunscreen ini udh paling bagus cocok buat anak anak dan sesusia kuuu , pokonya gabisa pindah ke lain hati thankyou eminaaaa ❤️❤️❤️❤️❤️❤️",Emina Sunscreen
bungaydht,4,05-05-2024 06:13 AM,fake,positive,"Emina sun protection cocok digunakan untuk pemula untuk menjaga kulit dari paparan sinar uv. Harga terjangkau, mudah didapat, sangat cocok digunakan untuk anak sekolahan. Teksturnya cukup padat dan mudah menyerap ke kulit. Sangat direkomendasikan untuk para pemula yang mencari sunscreen yang harga terjangkau, mudah dicari.",Emina Sunscreen
Rinihdyt,5,05-05-2024 06:12 AM,fake,positive,Aku udh pake sunscreennya selama 6 bulan dan itu bener-bemer cocok dikulit aku apalagi aku kerjanya tiap hari bawah terik matahari jd menjaga banget biar matahari gak langsung masuk ke sel kulit kita yang penting sih aman banget mau dipake di indor atw outdor emina emang the best,Emina Sunscreen
desy_indah,5,05-05-2024 05:59 AM,fake,positive,bagus banget sunscreen nya tidak lengket cocok untuk kulit kering dan tidak berminyak sama sekali aku pakai dan cocok sekali mantap bagus pokonya sumpah se enak itu emina the best banget lahhh plis lah baguss bangey aku suka sekali pokonua mantap,Emina Sunscreen
nazwaamp,5,05-05-2024 05:57 AM,fake,positive,Pake Emina sunscreen dari awal SMA dan suka samaaa teksturnya yang aga kentell tapiii jadi lembabin kewajah akuu! Cocok banget sama kulitku yang keringggg. Juga gabikin hinyai after pemakaian malahan makeupn jadi ngebantu ngesetttt. Sampe sekarang masih pakai karena udah cocok banget.,Emina Sunscreen
salsabil_200,5,05-05-2024 05:31 AM,fake,positive,Tau ga sunscreen dibawah 30ribu ternyata ada loh! Harganya murah tapi kualitisnya ga main main juga. Ga bikin kulit kusam dan ga gampang luntur. Oiya ini sunscreen kecintaan aku dari zaman smp juga loh! Yang penting ga perih di muka. Cocok buat yang mau sunscreen pertama kali,Emina Sunscreen
sasamalia,5,05-05-2024 05:19 AM,fake,positive,"pertama beli suka banget karna teksturnya ringan, harganya worth it, bikin kulit aku ga kusam jugaaa, aku pake udah kurang lebih 2 bulanan dan sekarang muka aku kaya lebih fresh dan ga kusam, dan slalu ngerasa aman kalo kena sinar matahari karna spf nya 45 pa +++",Emina Sunscreen
DindaSeptiana98_,5,05-05-2024 05:17 AM,fake,positive,"Akhirnya ada produk yang Cocok banget di kulit aku, gak bikin kusam, harganya terjangkau, teksturnya pas juga, rutin di pake keluar gak bikin hinyai, pokoknya cocok buat yang suka banyak aktifitas di luar ruangan, sangan rekomendasi banget",Emina Sunscreen
wansalsa34,5,05-05-2024 05:07 AM,fake,positive,Seneng banget sama produk dari emina iniiii pokoknya jangan sampe gabeli kalian ini bener bener sunscreen yang bagus banget buat muka aku yang jerawatan dan kusam iniiii emang se worth it itu woi pokoknya tiada tandinggg jangan lupa dibeli yaa,Emina Sunscreen
hasnanrlf,5,05-05-2024 04:54 AM,fake,positive,"aku aku mau kenalin produk yang satu ini nih, dulu jaman smp aku pernah pake produk ini dan bagus banget buat aku yang pemula waktu itu, wanginya enak, harga nya pun juga pelajar friendly alias ramah di kantong ya say, lama pemakaian kenya kurang lebih di 6 bulan ",Emina Sunscreen
witsqa_,3,05-05-2024 04:44 AM,trusted,neutral,"siapa yang gak tau sunscreen ini, harga pelajar murah terus bisa pake under makeup tapi di aku sayangnya oily terus greasy jadi kebelihan yang aku rasa cuma murah aja mungkinnn terus kalo dipake buat pemula bisa tapi prefer brand lain aja ya",Emina Sunscreen
Niahamdani68,5,05-05-2024 04:43 AM,fake,positive,Bagus banget dipake di remaja aman untuk kulit kemerahan dan berjerawat harganya affordable banget bagus banget aman hasilnya juga bagus bisa mencerahkan juga menjaga dari paparan sinar matahari banget ga lengket pokonya very recommemded,Emina Sunscreen
Kresnaaizisa11,5,05-05-2024 04:38 AM,fake,positive,"Aku pakai ini sejak SMA saat latihan paskibra latihan setiap hari sampai warna kulitku gelap kusam dan kering. Setelah aku pakai emina ini warna kulitku kembali membaik dan tidak menjadi kusam, lebih cerah dan lebih lembab. Aku rekomendasikan banget sih",Emina Sunscreen
kaniaaliya,5,05-05-2024 04:06 AM,fake,positive,Super ringan dan bener bener aku suka banget bisa ditimpa di atas makeup dan aku selalu re apply selam 3 jam sekali jadi aman banget sih ke muka ga whitecast aku suka bangett sihh rekomen buat kalangan remaja karna aku pake dari smp jadi gada alasan lagi buat ga make sunscreen,Emina Sunscreen
alfatesya,4,05-05-2024 04:04 AM,fake,positive,"harganya murah banget, ringan jugaa dan pstinya ga bikin kulit berminyak. bisa banget dipake untuk sehari-hari, aku pake dari jaman masih sekolah dan sampe sekarang kadang kadang masih suka pake juga, karena aman dikulit dan di jual dimana mana",Emina Sunscreen
Alexander88,5,05-05-2024 03:55 AM,fake,positive,"Sunscreen pertama yang aku coba, dulu wanginya agak kurang enak sekarang udah reformula wanginya lebih soft, buat kulit aku yang sensitif masih aman-aman aja sih, harganya juga terjangkau banget, ada travel sizenya juga bisa buat pergi-pergian",Emina Sunscreen
Ajengmarjanmardhiani,5,05-05-2024 03:48 AM,trusted,positive,Akuu pake inii dari SMP sampe sekarang udah kuliaah.bner bner bagus bangett gak bikin kulit kusam dan bikin bekas jerawat aku ilang.produk ini juga ngebantu aku buat melindungi dari sinar matahari dijalan karena perjalanan aku dari kampus jauh,Emina Sunscreen
ayni00,4,05-05-2024 03:45 AM,trusted,positive,"Ok, mari kita bahas Produktif Sunscreen dengan gaya santai! Jadi, ini dia, Produk Sunscreen ini memang bikin nyaman. Kenapa? Pertama, gak lengket! Bayangin, kamu bisa pakai ini di bawah makeup tanpa ngerasa kayak ada sesuatu yang nyebelin di wajah. Terus, wanginya juga enak, gak kayak produk sunscreen pada umumnya yang bau kayak obat nyamuk. Dan yang paling penting, dia bener-bener melindungi kulit kamu dari sinar matahari. Jadi, kamu bisa tenang deh beraktivitas di luar ruangan tanpa khawatir kulit bakal jadi kayak kulit kaktus.

Ukuran botolnya juga pas buat dibawa-bawa, jadi bisa masuk ke dalam tas atau saku celana kamu tanpa bikin repot. Tapi ya, ada satu hal yang perlu diperhatiin, kamu perlu reapply si sunscreen ini setiap beberapa jam ya, terutama kalo lagi banyak keringetan atau habis main air. 

Harganya emang agak mahal sedikit, tapi menurutku, worth it lah buat yang dapet hasilnya kayak gini. Jadi, kalo kamu lagi cari sunscreen yang oke buat dipake sehari-hari, aku saranin coba deh Produktif Sunscreen ini!",Emina Sunscreen
lydiaaa888,5,05-05-2024 03:39 AM,fake,positive,"sunscreen ini enak bangettttt dipakenyaaa, ringan trs ga peeling jugaaaa. Terutama buat anak sekolahhh, pokoknya ga bikin kusammm enak banget. Favorite vanget buat akuuu, dan harganya juga murahhh bisa dicari dimana ajaaaa. Terus ga whitecastttt",Emina Sunscreen
